"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","Q79","Q100_Browser","Q100_Version","Q100_Operating.System","Q100_Resolution","Q99","I1_H3_A_Off_1","I2_H3_B_Off_1","I3_H3_A_Off_1","I4_H3_B_Off_1","I5_H3_A_On_1","I6_H3_B_On_1","I7_H3_B_On_1","I8_H3_A_On_1","I9_H3_A_Off_2","I10_H3_B_Off_2","I11_H3_A_Off_2","I12_H3_B_Off_2","I13_H3_A_On_2","I14_H3_B_On_2","I15_H3_B_On_2","I16_H3_A_On_2","I17_H1_B_Off_1","I18_H1_A_Off_1","I19_H1_A_Off_1","I20_H1_B_Off_1","I21_H1_B_On_1","I22_H1_A_On_1","I23_H1_B_On_1","I24_H1_A_On_1","I25_H1_A_Off_2","I26_H1_B_Off_2","I27_H1_B_Off_2","I28_H1_A_Off_2","I29_H1_B_On_2","I30_H1_A_On_2","I31_H1_A_On_2","I32_H1_B_On_2","Strategy","Forecasts","Threats","Red_Dot","Larger","Variable","Hit","Q100","Q101","Age","Gender","Color_42","Color_5","Q126","id"
"11","3/27/2017 22:29","3/27/2017 22:36","IP Address","67.172.238.168",100,449,TRUE,"3/27/2017 22:36","R_9oc6Authoahj9Tz",NA,NA,NA,NA,40.73860168,-111.8591003,"anonymous","Yes","Safari","10.0.3","Macintosh","1440x900","Yes","Equal damage","Equal damage","A","Equal damage","Equal damage","Equal damage","B","A","Equal damage","Equal damage","Equal damage","A","Equal damage","B","B","A","A","A","A","Equal damage","B","A","B","A","A","Equal damage","Equal damage","Equal damage","B","A","A","B","I decided based on which rig was closer to the central paths of destruction as well as if they were on or aligned with one of the lines. ","No","No","Higher wind paths or predictions of high velocity waves.",FALSE,TRUE,TRUE,"Laptop","13 inch ",22,"Female",42,"5","u0734856",5766
"12","3/28/2017 9:26","3/28/2017 9:35","IP Address","67.2.12.43",100,527,TRUE,"3/28/2017 9:35","R_1rwS5y5QXAX8I6g",NA,NA,NA,NA,40.6499939,-112.0149994,"anonymous","Yes","Safari","10.0.3","Macintosh","1280x800","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","A","A","B","A","B","A","B","A","A","B","B","A","A","B","Which ever one was closer to the hurricane's path I deemed as more likely to get damaged. If it was already in the path of the hurricane's path I figured it would already be in trouble. ","No","No","Possibly winds? ",FALSE,TRUE,FALSE,"Desktop Computer","15",20,"Female",42,"5","u1018042",8556
"13","3/28/2017 9:56","3/28/2017 10:05","IP Address","155.97.15.101",100,537,TRUE,"3/28/2017 10:05","R_sbCUcXtpAhiIDzr",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","55.0.2883.87","Windows NT 6.1","2560x1440","Yes","B","Equal damage","B","A","A","Equal damage","B","A","Equal damage","Equal damage","B","A","A","Equal damage","B","A","Equal damage","B","Equal damage","A","B","Equal damage","B","A","B","A","A","B","B","A","A","B","Mainly I looked at the red dots and saw lines going right through and marked that one. But there wer other times i marked equal damage, because although one dot had a small line through and the other didn't I still looked at how much flow was going towards both.","No","No","Wind and water",FALSE,TRUE,TRUE,"Desktop Computer","11X12",23,"Female",42,"5","u1086086",8103
"14","3/28/2017 10:54","3/28/2017 11:00","IP Address","128.110.23.57",100,383,TRUE,"3/28/2017 11:00","R_2PdH5oI2T2bOoCj",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Macintosh","1280x800","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","how many lines went through the letter.","No","No","wind track",TRUE,TRUE,FALSE,"Laptop","13"" macbook",23,"Male",42,"5","u0863813",6402
"15","3/28/2017 10:59","3/28/2017 11:10","IP Address","128.110.22.12",100,707,TRUE,"3/28/2017 11:10","R_2QSQrW7RkMVRal4",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Macintosh","1280x800","Yes","Equal damage","B","Equal damage","B","A","Equal damage","B","A","Equal damage","B","A","Equal damage","Equal damage","Equal damage","B","A","Equal damage","A","A","B","Equal damage","Equal damage","Equal damage","A","A","B","Equal damage","Equal damage","B","A","A","B","If B appeared to be closer to the dark blue lines (path of hurricane), then I chose B and vice versa. But if A and B both appeared to be equally surrounded by the hurricane path than I chose equal amount of damage. I don't know much about the path of hurricanes, so of course they were guesses. ","No","No","I imagined the lines represented areas that were affected by the cyclone.   ",FALSE,FALSE,FALSE,"Laptop","13 inch",23,"Female",42,"5","u1085144",8312
"16","3/28/2017 13:27","3/28/2017 13:41","IP Address","208.64.89.228",100,823,TRUE,"3/28/2017 13:41","R_2OU4ULNCyzvHSjc",NA,NA,NA,NA,40.52470398,-111.8638,"anonymous","Yes","Chrome","56.0.2924.87","Macintosh","1440x900","Yes","A","B","Equal damage","B","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","Equal damage","B","B","A","Equal damage","Equal damage","Equal damage","Equal damage","B","A","Equal damage","A","A","Equal damage","B","Equal damage","B","A","A","B","The way I interpreted the pictures was that the lines represented possible paths/intensity of the hurricane.  Whichever oil rig had a possible path closest to it is the one I would guess received more damage.  If they both seemed fairly off that path then I would guess equal damage because I do not know how much of a difference that distance would make when dealing with hurricane conditions.","No","No","I think they represented the possible paths/off-shoots the hurricane could take",FALSE,TRUE,TRUE,"Laptop","1440 x 900",21,"Male",42,"5","852809",7699
"17","3/28/2017 15:42","3/28/2017 15:48","IP Address","128.110.18.117",100,363,TRUE,"3/28/2017 15:48","R_1DPbGdYgX5NVvPy",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","55.0.2883.95","Macintosh","1440x900","Yes","A","B","A","B","A","B","B","A","A","B","A","B","A","B","B","A","B","Equal damage","A","B","B","A","B","A","A","B","Equal damage","A","B","Equal damage","A","B","I chose the location that was the closest to the dense point of the hurricane. If they were equidistant then I chose the point closes to the any dense area of the hurricane. If they were still the same, then I chose that they would be damaged equally. ","No","No","Concentrated areas of wind",FALSE,FALSE,FALSE,"Laptop","13.3 inch",21,"Male",42,"5","u0403455",8577
"18","3/28/2017 16:45","3/28/2017 16:58","IP Address","67.186.228.2",100,765,TRUE,"3/28/2017 16:58","R_2dF7CJlWPixTAZ8",NA,NA,NA,NA,40.01420593,-111.7388992,"anonymous","Yes","Firefox","52","Macintosh","1440x900","Yes","A","B","A","Equal damage","A","Equal damage","Equal damage","A","Equal damage","Equal damage","A","Equal damage","A","Equal damage","B","A","Equal damage","A","A","Equal damage","Equal damage","Equal damage","B","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","B","I determined it by how far away each rig was. If they were equal distance from the path or in the bath I think that they would be equal. If one was closer to the hurracaine then they would get more damage.","No","No","I think the lines represented the path and width of the storm.",FALSE,FALSE,FALSE,"Laptop","13in",30,"Male",42,"5","u0870250",6035
"19","3/28/2017 17:56","3/28/2017 18:07","IP Address","155.99.184.76",100,680,TRUE,"3/28/2017 18:07","R_1psyzj4sEX1Iu3M",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 10.0","1536x864","Yes","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","B","A","Equal damage","B","Equal damage","Equal damage","B","A","B","Equal damage","B","A","A","Equal damage","B","A","A","B","I mostly based my decision off of if the red dots were located in an area where the hurricane could be. If one was more on the edge I was less likely to say it would be damaged. Also if the dots were both relatively far from the main hurricane activity I felt they would be effected more similarly than if they were close.","No","No","Wind patterns",TRUE,TRUE,FALSE,"Desktop Computer","13 inch laptop",19,"Female",42,"5","u1009559",8404
"20","3/29/2017 9:22","3/29/2017 9:27","IP Address","155.97.8.150",100,331,TRUE,"3/29/2017 9:27","R_2uVySeJrCh7GWq2",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","55.0.2883.87","Windows NT 6.1","1920x1080","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","I looked for which oil rig was closest to or on top of the lines. ","No","No","paths of the hurricane, or lines of damag",TRUE,FALSE,FALSE,"Desktop Computer","23""",20,"Female",42,"5","u0879071",8290
"21","3/29/2017 10:09","3/29/2017 10:14","IP Address","128.110.88.182",100,325,TRUE,"3/29/2017 10:14","R_yCih5y8NvtThgTT",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Macintosh","1280x800","Yes","B","A","B","A","A","B","B","A","B","A","A","A","A","B","B","A","A","B","B","A","B","A","B","A","B","B","A","B","B","A","A","B","I chose the oil rig that was either intersected with one or a few purple lines or closer to the epicenter.","No","No","Storms traveling towards the herricane forming.",TRUE,TRUE,TRUE,"Laptop","9x11",19,"Male",42,"5","u0953908",8470
"22","3/29/2017 10:15","3/29/2017 10:21","IP Address","155.99.189.83",100,399,TRUE,"3/29/2017 10:21","R_1hEC7PnkpWqfbaI",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Safari","10","Macintosh","1280x800","Yes","A","B","A","B","A","B","B","A","A","B","A","B","A","B","B","A","B","A","A","B","B","A","B","A","A","B","B","A","B","A","A","B","I chose based on how close to the center of the hurricane the point were. The closest point to the middle of the hurricane, I thought, would get hit first causing more damage","No","No","Where the hurricane was going to hit ",TRUE,FALSE,FALSE,"Laptop","13""",19,"Female",42,"5","961762",6781
"23","3/29/2017 13:28","3/29/2017 13:35","IP Address","73.98.132.175",100,433,TRUE,"3/29/2017 13:35","R_1hz2jcWUlYxHejC",NA,NA,NA,NA,40.73860168,-111.8591003,"anonymous","Yes","Safari","10.0.3","Macintosh","1280x800","Yes","Equal damage","Equal damage","A","Equal damage","Equal damage","B","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","A","B","B","A","A","Equal damage","A","Equal damage","B","A","B","A","Equal damage","B","B","A","B","A","A","B","I chose based on how in line the oil rig was to the hurricane and whether or not there was a lot of traffic surrounding the oil rig. Also whichever rig was closest to the center of the hurricane. ","No","No","the direction and power of wind and rain.",TRUE,FALSE,FALSE,"Desktop Computer","13""",24,"Female",42,"5","u0756688",8446
"24","3/29/2017 14:29","3/29/2017 14:33","IP Address","155.101.170.60",100,268,TRUE,"3/29/2017 14:33","R_10AH8LF2fQNwLFr",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.76","Windows NT 6.1","1280x1024","Yes","B","B","B","A","Equal damage","B","B","A","B","A","B","Equal damage","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","I looked at where the lines would overlap with the dot. If it did, chances are it would be hit more. The closer they are the more likely they were equal. ","No","No","Just the senstive areas where it would hit the place most",FALSE,TRUE,TRUE,"Desktop Computer","12.5""",22,"Female",42,"5","u0762478",8659
"25","3/29/2017 14:39","3/29/2017 14:49","IP Address","155.99.229.154",100,573,TRUE,"3/29/2017 14:49","R_1r8H52R57qNfGbj",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 10.0","1280x720","Yes","Equal damage","B","Equal damage","A","A","B","B","A","A","B","A","Equal damage","A","B","B","A","B","B","B","B","B","A","B","A","Equal damage","A","B","A","B","A","A","B","I chose whichever oil rig was closer to the larger amount of lines. Even if there was one on a line, but the other was by more lines I chose the other one. Sometimes I just guessed because they were similar. In those cases I mainly chose the one that was closer to the mass of lines or the starting point. ","Yes","No","Possible paths",FALSE,TRUE,FALSE,"Laptop","14""",18,"Female",42,"5","u1001874",8361
"26","3/29/2017 14:52","3/29/2017 15:00","IP Address","155.99.148.97",100,441,TRUE,"3/29/2017 15:00","R_1Hkswca4EE27Gep",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Safari","10.0.3","Macintosh","1366x768","Yes","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","Equal damage","A","Equal damage","Equal damage","A","Equal damage","A","Equal damage","B","A","Equal damage","Equal damage","A","Equal damage","Equal damage","A","B","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","A","Equal damage","B","I generally picked the one that seemed closest to the hurricane. ","No","No","The direction of the storm",TRUE,TRUE,FALSE,"Laptop","13 inch",18,"Male",42,"5","u1026924",8654
"27","3/29/2017 21:21","3/29/2017 21:33","IP Address","50.160.85.106",100,753,TRUE,"3/29/2017 21:33","R_1iafObyenHpx6lV",NA,NA,NA,NA,40.79949951,-111.8284988,"anonymous","Yes","Safari","10.1","Macintosh","1440x900","Yes","B","A","B","A","A","B","B","A","B","A","Equal damage","A","A","Equal damage","B","A","A","Equal damage","B","Equal damage","B","A","B","A","B","A","A","B","B","A","A","B","The main criteria that I used was if either A or B were intersecting a line.  Also the relative position of A or B to the central conglomerate of the lines.  Occasional I accessed the potential risk of multiple lines converging to a point, and a couple times this outweighed the risk of the other point being located on a line.  Mostly, I determined if a line was intersecting the point and then rated that point as having a higher risk. ","No","No","Pathways that the hurricane might take. ",TRUE,FALSE,FALSE,"Laptop","13.3",20,"Female",42,"5","u0967820",8350
"28","3/30/2017 8:39","3/30/2017 8:51","IP Address","128.110.36.87",100,693,TRUE,"3/30/2017 8:51","R_3lWHFVW2IQMWEES",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Edge","14.14393","Windows NT 10.0","1293x727","Yes","B","A","B","A","A","B","B","A","B","A","A","A","A","B","B","A","Equal damage","B","Equal damage","A","B","A","B","A","B","A","A","B","B","A","A","B","I figured that the dot that was closest to the hurricane lines or on a line would be most affected by the hurricane.","No","No","The pathway of the hurricane",TRUE,FALSE,TRUE,"Laptop","10x12",20,"Female",42,"5","u0969326",8393
"29","3/30/2017 12:45","3/30/2017 12:56","IP Address","73.98.241.145",100,687,TRUE,"3/30/2017 12:56","R_xnZCbNos6cegCOZ",NA,NA,NA,NA,40.74850464,-111.9860001,"anonymous","Yes","Firefox","52","Windows NT 5.1","1280x768","Yes","A","B","Equal damage","Equal damage","Equal damage","Equal damage","B","A","Equal damage","Equal damage","A","Equal damage","A","Equal damage","B","A","Equal damage","Equal damage","A","Equal damage","B","A","B","A","A","Equal damage","Equal damage","Equal damage","Equal damage","A","Equal damage","B","I looked at te direction the wind was going. The closer the rigs were to the wind, the more damage I felt they would incur. If they were both out of the way of the wind, or not in it's path, they would incur equal damage.","No","No","wind direction",TRUE,FALSE,FALSE,"Desktop Computer","21""",41,"Male",42,"5","u1052113",7548
"30","3/30/2017 12:46","3/30/2017 12:57","IP Address","128.110.236.171",100,676,TRUE,"3/30/2017 12:57","R_bwNjeOzMK2g55pn",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Macintosh","1280x800","Yes","Equal damage","Equal damage","B","Equal damage","A","B","B","Equal damage","Equal damage","Equal damage","A","Equal damage","A","Equal damage","B","A","B","Equal damage","Equal damage","A","B","A","B","A","Equal damage","Equal damage","A","A","Equal damage","A","A","B","I made my decisions based on which oil rig was closest to/ in the direct path of the lines.","No","No","I think that the lines represent possible paths of waves.",TRUE,TRUE,FALSE,"Laptop","13c inch",18,"Female",42,"5","u1024594",5927
"31","3/31/2017 11:36","3/31/2017 11:48","IP Address","174.27.143.150",100,697,TRUE,"3/31/2017 11:48","R_1CINti0EFKy6aOM",NA,NA,NA,NA,40.73860168,-111.8591003,"anonymous","Yes","Safari","9.1.2","Macintosh","1280x800","Yes","B","Equal damage","Equal damage","A","Equal damage","B","B","A","A","Equal damage","A","B","A","Equal damage","B","A","A","A","A","B","B","A","B","A","B","A","B","B","A","A","Equal damage","B"," i looked at how close each point was to the main projected path. if they seemed about equal distance apart. i looked at the other projected paths and which one was closer to the greater number of blue lines. ","No","No","the projected pathways the the hurricane could travel and the likely hood of the hurricane traveling on that path.",TRUE,TRUE,FALSE,"Laptop","13.3 inch",21,"Female",42,"5","u0894240",8389
"32","3/31/2017 14:00","3/31/2017 14:10","IP Address","155.97.18.24",100,615,TRUE,"3/31/2017 14:10","R_3rYam6oy51xtjSr",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 6.1","1920x1080","Yes","A","B","A","B","A","Equal damage","B","A","A","B","A","B","A","B","B","A","B","A","B","B","Equal damage","A","B","Equal damage","A","B","B","A","B","A","A","B","For the most part, I chose the oil rig that was closest to most amount of lines. Sometimes it was tricky though. So, I also imagined how the lines would swing out in order to see which rig would be impacted more.","No","No","The are of the hurricane. More lines in an area indicated that the hurricane was more present in that location.",TRUE,FALSE,FALSE,"Desktop Computer","24X14",23,"Female",42,"No","u0674701",8328
"33","4/1/2017 12:24","4/1/2017 12:33","IP Address","155.99.13.214",100,540,TRUE,"4/1/2017 12:33","R_sv3nDpa5cxOIwzT",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 6.1","1093x615","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","The more blue lines they were in contact with, the more damage.","No","No","Air currents",TRUE,TRUE,FALSE,"Laptop","14""x10""",29,"Female",42,"5","u0948685",8216
"34","4/3/2017 10:48","4/3/2017 11:01","IP Address","128.110.83.66",100,763,TRUE,"4/3/2017 11:01","R_AsWt4S6ZfsHRh17",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","49.0.2623.112","Macintosh","1280x800","Yes","B","A","B","A","A","Equal damage","B","A","Equal damage","A","Equal damage","A","A","B","B","A","Equal damage","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","First, I just picked the dots that had a line going through them.  Then, I started to realize that none of them had lines going through both of the dots and there was an option of choosing both.  So I started to choose based on where the lines were directed and pointed at. ","No","No","Where the waves are headed. ",TRUE,FALSE,FALSE,"Laptop","11' by 14'",22,"Female",42,"5","u0806418",8552
"35","4/3/2017 23:22","4/3/2017 23:39","IP Address","75.162.69.223",100,1060,TRUE,"4/3/2017 23:40","R_5vFfpV7Eqdkr6F3",NA,NA,NA,NA,40.62469482,-111.7123032,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 10.0","1920x1080","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","Equal damage","B","A","A","B","Equal damage","A","B","A","B","A","B","A","A","B","B","A","A","B","I wasn't certain on if the convergence of lines was going away or towards the epicenter with the highest concentration of lines. 

Either way, I focused my attention on: 1. Observing if a line went directly through a target point, resulting in a higher probability of damage. 2. How many lines went through or were near each point.  ","No","No","Vector projections.",FALSE,FALSE,FALSE,"Desktop Computer","27"" HDTV",28,"Male",42,"5","u0600811",6942
"36","","","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","",NA,"",NA,"","",NA
