"","id","Strategy","Forecasts","Threats","Red_Dot","Red_Dot_TEXT","Larger","Variable","Hit","VisType","Encoding"
"58",109,"I first looked at the red dot, then at the gauge given, and then determined how the location of the red dot would play into the wind speed of the given gauge.","2","2","4","oil rig","3","2","1","Ensemble","Intensity"
"59",39,"I made my decisions according to my observations about the concentration of lines","2","2","2",NA,"3","3","2","Ensemble","Intensity"
"60",144,"Just like reading magnetic or electrical field lines, I associated stronger wind speed with the amount of space between neighboring lines. The more condensed the lines are means the wind speeds are greater.","2","2","4","Didn't it represent the oil rig?","3","2","1","Ensemble","Intensity"
"61",75,"I used the gauges provided to determine the wind speed from the hurricaneand where the dot was at in relation to the blue lines and where the dot was at on these lines","2","2","2",NA,"3","2","2","Ensemble","Intensity"
"62",74,"Look at the concertration of the wind (colored blue)vs the gauge it was initially measured at","2","2","4","Oil rig","3","3","2","Ensemble","Intensity"
"63",63,"I selected the same gauge as the one presented","2","2","1",NA,"1","2","2","Ensemble","Intensity"
"64",27,"I looked at what the starting wind speed was and then used the thickness of the blue lines showing its path to see how strong it was.","2","2","2",NA,"3","2","2","Ensemble","Intensity"
"65",77,"I went by the direction of the needle. if it looked like the hurricane needed to go to the left in order to reach the oil rig, then i would pick the one that had the needle pointing more to the left","2","2","4","the oil rig","3","3","2","Ensemble","Intensity"
"66",91,"Honestly, I have absolutely no idea how hurricanes and wind speed work. From what I understood, the darkest part was the fastest part, and then it dies down from the center. So I would just estimate how much I thought the wind speed would die down based on how far way the oil rig (red dot) was away from the center of the hurricane and how many of the little blue lines were close to it.","2","2","2",NA,"3","3","1","Ensemble","Intensity"
"67",60,"I roughly estimated the speed of the hurricane at the designated red dot based on my visual perception on the density of blue colored lines which surrounded it.","2","2","2",NA,"3","3","1","Ensemble","Intensity"
"68",133,"I looked at the distance from the red dot and the starting point, and then the dial to see how fast it started. I then looked at the direction that the wind was going and factored that into my guess as well.","2","2","4","Where the huricane was going to hit, the position of the oil rig.","3","2","2","Ensemble","Intensity"
"69",103,"If the dot was in or near the path of the main lines, then I chose a higher wind speed than the gauge on the picture.  If the dot was in no where near the lines, then I chose a lower wind speed.  If the dot was close to land, then I chose a lower or similar wind speed.  I also assumed that the hurricane was moving from where the gauge was placed on the map to where the red dot was.  If it was far away with little lines, I usually chose a very low wind speed, that may have been much lower than that of the gauge on the map.  If the red dot was closer to the gauge, then I chose a speed that was close to the speed shown on the map.","2","2","3",NA,"1","3","1","Ensemble","Intensity"
"70",136,"I made my decisions based on the distance between the red dot (oil reg) and the major center of the hurricane approaching. The closer the two were together, it would hit the oil rig at a lot faster speeds than that of when the oil reg what out of the way of the hurricanes direct path.","2","2","3",NA,"3","3","2","Ensemble","Intensity"
"71",135,"I looked at the dot and judging how many blue lines were touching it or near it, I chose a higher or lower wind speed.","2","2","2",NA,"1","2","2","Ensemble","Intensity"
"72",147,"I looked at the diameter on the original picture which to me indicated the strongest wind speed for that hurricane. Then I looked at the red dot, looking at how far away it was from the strongest point and thought about how much the wind would have dropped by that point and made my decision off of that.","2","2","2",NA,"3","3","2","Ensemble","Intensity"
"73",29,"I looked at how far the dot was from the gauge and how many lines were around the dot to determine the strength of the wind speed at the time it hit the dot.","2","2","4","An Oil Rig","3","3","1","Ensemble","Intensity"
"74",34,"I judged the difference from the starting wind speed by how close the concentration of lines was to the starting measurment","2","2","2",NA,"3","2","2","Ensemble","Intensity"
"75",118,"I looked at how high the wind speed was, then how far away from the red dot the apex was and tried to determine how many levels the wind speed would drop.","2","1","4","oil Rig","3","2","2","Ensemble","Intensity"
"76",87,"I used the given gauge (in the picture) to create a scale dividing the line concentration into however many gauges i needed to and made a best guess from that method.","2","2","2",NA,"3","3","2","Ensemble","Intensity"
"77",158,"I based my decisions on how many lines were near the oil rig, and then based on the power I guessed.","2","2","4","The Oil Rig","3","2","2","Ensemble","Intensity"
"78",53,"I looked at the landmarks like florida and mexico to determine about how much distance was covered","2","1","2",NA,"1","3","2","Ensemble","Intensity"
"79",32,"The higher the windspeed the lareger the assumed diameter.","1","1","4","the oil rig","3","3","2","Ensemble","Intensity"
"80",156,"Assessing the original windspeed and the number of lines that either connected with or surrounded the oil rig were integral to my decision-making process.","2","2","4","oil rig","3","2","2","Ensemble","Intensity"
"81",124,"I was asked to select the wind speed with which the hurricane would hit the red dot (the oil rig), so I used the wind speed that the hurricane had at it's origin point (shown on diagram) and tried to estimate the percentage of wind speed that it would lose as is spread out and grew weaker, then I tried to estimate the amount of wind that the point of the hurricane that would hit the red dot would have. i.e. if the dot was not directly withing the hurricane's main path of travel it would be hit with less force than an oil rig that was directly within the main path of travel.","2","2","4","The oil rig","1","3","2","Ensemble","Intensity"
"82",8,"I chose which speed to choose by how close or far away the red dot was. the closer it was, the higher the wind speed and the farther away, the slower the wind speed","2","2","2",NA,"3","3","2","Ensemble","Intensity"
"83",148,"I decided based on how close the dot was to all the blue wavelike lines that were around it. The more lines that were around the dot the stronger the hurricane the farther away the lines from the dot the more calm and safer it was to be anywhere near the red dot.","2","2","2",NA,"3","2","2","Ensemble","Intensity"
"84",6,"I figured that a hurricane loses power the more distance it travels. If the hurricane was relatively close to the red dot I stated that the hurricane would decrease by one rating of wind speed. If the hurricane was at a greater distance, I decreased the wind speed by two ratings.","2","2","2",NA,"3","3","1","Ensemble","Intensity"
"85",23,"I looked at the trajectory of the hurricane","2","2","2",NA,"3","2","1","Ensemble","Intensity"
"86",132,"I really just based it off what would make the most sense. what was based on the direction of the wind pattern if the dot was right in the middle of course its going to be getting the worst of the storm and feel the higher winds. If the dot was a way from the storm and hardly in its path of course the logical thing would be is that it did not feel the full force of the storm but would still feel something.","2","2","4","where the oil ridge wo","1","3","2","Ensemble","Intensity"
"87",85,"I have to be honest, I was a little confused. I began by just matching the meter in the example and then considered the wind increasing, so I went one meter up from the original. But, mostly I guessed.","2","2","1",NA,"1","2","2","Ensemble","Intensity"
"88",82,"I first took into account the initial speed of the hurricane and then observed the directional path markings. If the oil rig would lie within a more direct path than I labeled the windspeed being equal to the apex. If the oil rig would lie further from the brunt of the path then I would mark it as being less than the apex. How far away from the strong path determined by how much less.","2","2","4","The oil Rig","1","3","1","Ensemble","Intensity"
"89",171,"Depending on which direction the oil rig was, east or west, north or south, I chose whether the wind speed went up or down.","2","2","4","an oil rig","1","3","1","Ensemble","Intensity"
"90",55,"I tried to line up the red dot with the center of the gauge and make the best guess.","2","2","4",NA,"3","3","2","Ensemble","Intensity"
"91",152,"I visualized the diameter in terms of the purple lines protruding from the dense center point.","2","2","1",NA,"3","3","2","Ensemble","Intensity"
"92",128,"Honestly, the depictions were really hard to read, and I guessed for most of them, with a little bit of influence on how strong the wind started out, and the relative distance from the gusts to the rigs.","2","2","4","We were told that it represented an oil rig.","3","2","2","Ensemble","Intensity"
"93",157,"I have never done anything involving forecasting so to be honest I did a lot of guessing.","2","2","4","an oil rig","3","2","2","Ensemble","Intensity"
"94",58,"I basically imagined that where the blue lines went were exactly where the wind was, and any deviation from the blue lines that had nothing was not windy. I imagined the diameter of the oil rig to be no larger thatn the red dot. So, if the red dot was not touching a blue line, I imagined that the effects it was feeling from the hurricane were negligible.","2","2","2",NA,"3","2","1","Ensemble","Intensity"
"95",102,"I made my decision based upon the initially speed indicated, then on the darkness of the blue forecast lines with the darkest maintaining the initial speed and losing speed as the lines became lighter.","2","2","2",NA,"1","2","2","Ensemble","Intensity"
"96",78,"I looked at the darkest blue lines as the peak wind speed and then if the oil rig was far from the dark lines the wind speed was lower and if it was close then the higher the wind speed.","2","2","4","Oil Rig","1","2","2","Ensemble","Intensity"
